id,target
2306.17743,3
2006.09518,2
2006.01191,4
1303.7050,4
2204.10663,1
2103.03980,4
2303.16422,4
2310.17003,1
2402.07322,4
2011.06593,1
2204.01700,1
1403.7925,3
1811.09932,2
2010.10862,1
1311.1496,1
2112.11727,3
2206.03608,2
2311.07628,1
1406.4322,2
2006.12296,4
2305.05663,2
1910.02779,1
1410.3991,3
chao-dyn/9704003,3
2103.03237,4
1801.06077,2
2208.09148,4
astro-ph/0111061,3
1204.4025,2
1505.05639,2
2012.14820,4
1612.03274,3
2008.10085,1
1212.4279,2
1606.08377,1
2204.04251,4
2302.06799,4
1002.4437,3
1309.7222,2
2304.00291,1
1406.5741,3
2110.15025,2
1705.06557,2
2306.13681,4
1608.01535,2
1603.01308,2
1911.07085,4
2106.01340,4
1408.6616,1
2107.11791,3
2401.16458,2
2106.12727,4
1606.02801,1
1401.2982,2
2210.09485,1
1001.3978,3
hep-th/9511214,3
astro-ph/0106150,3
2002.08470,1
1506.07286,3
2004.05726,1
math-ph/0302019,3
1912.07120,4
1406.5144,3
2309.13766,4
1902.10604,1
2402.16724,2
2005.01103,4
hep-th/0101217,3
2009.04171,4
1903.11004,4
1206.6787,2
2205.13472,3
0808.1904,3
1008.3937,3
2102.04160,2
2205.06132,4
2002.02271,2
2010.02129,1
2102.03039,1
2309.07363,4
2307.05054,4
1310.4387,1
2312.10543,1
q-bio/0608030,1
1712.09978,2
1801.07660,1
1512.01742,2
0712.4381,1
2106.12928,4
1711.10031,4
1802.10244,2
2303.00882,1
2011.05381,2
0911.0113,2
2002.07117,2
2210.00048,4
2310.11023,2
1612.04649,3
1809.04853,4
2304.06315,1
hep-th/0305027,3
q-bio/0506011,1
1901.00769,4
quant-ph/9506023,3
1811.04170,4
2403.03598,3
2309.01096,4
1710.01335,3
1805.10530,3
2402.18324,4
2101.04113,2
2106.05024,4
1408.4848,2
2306.01749,2
2006.13420,4
1904.12085,4
1802.08825,4
2006.01808,4
1105.1013,3
astro-ph/0404401,3
1803.11274,1
1908.02226,3
2307.02170,1
2002.07964,4
2402.08071,2
1910.01618,1
2304.09964,3
2305.14029,4
2302.10140,2
2208.12266,1
1802.01540,2
1909.05909,1
2210.09046,3
2111.03157,1
1907.08690,3
2111.01301,4
hep-ph/9709472,3
2110.01105,3
2204.09680,1
1811.03588,4
1603.07041,4
2301.07855,4
1408.5951,2
2307.06174,4
1608.07244,1
1912.06533,2
2006.15309,4
1608.02475,3
2103.07200,4
q-bio/0502013,1
2306.17773,4
2006.02989,3
2303.14590,1
0707.0717,3
hep-ph/0412328,3
2010.11644,4
2212.03704,4
2006.14499,2
1112.1391,1
1606.08984,2
1805.04048,4
2202.10157,1
q-bio/0508012,1
1306.4220,3
1801.06425,2
1712.05470,4
1602.03944,2
2104.14054,4
1401.5049,1
1812.03453,2
1510.03928,2
2211.10442,1
2402.14486,4
1205.2302,2
1506.04227,2
1307.2181,2
2307.07443,1
2004.08807,1
1606.00627,3
1312.0514,2
1805.06855,4
1311.2707,1
1811.07294,2
1809.02303,4
0909.4730,2
2402.04765,2
2103.14351,4
1809.08889,4
astro-ph/9609010,3
2303.05636,4
1506.08743,2
2103.01368,4
0907.1810,3
1808.08995,4
2012.01257,2
2110.01117,1
2206.04350,2
cond-mat/0603237,3
2205.11012,2
2007.14941,1
math/0612075,2
1507.08333,2
1806.05542,2
1807.00683,3
1409.4890,2
2109.08109,4
1806.09517,4
2005.00495,1
1810.02454,4
1812.01707,2
q-bio/0702005,1
1512.08792,2
2206.01728,1
2002.09014,4
gr-qc/9804039,3
1111.2169,2
0904.4074,2
2303.01601,4
1712.09854,2
1110.6045,3
0804.0533,3
2008.04401,4
1305.5656,2
q-bio/0602013,1
2311.17067,1
0901.4914,2
0802.0795,3
1005.2121,3
1502.00218,2
1611.06666,2
1911.10149,2
0804.3976,3
2007.02739,4
1611.08844,1
2209.07330,4
1804.10957,4
1608.04972,1
1612.09499,1
1802.00793,4
1401.3518,1
0810.4355,1
1711.10303,2
1805.06245,1
1912.03538,1
2402.17153,1
0912.4013,3
2304.03073,1
2007.06262,2
quant-ph/0501178,3
2303.14298,4
2303.11414,2
1905.10103,3
1504.07786,3
math/0610219,2
2205.03926,4
2109.10676,4
2207.00800,4
1503.06354,2
2302.02866,4
1304.0132,1
1308.5376,2
1605.06086,1
astro-ph/0410385,3
2111.15320,4
1607.06163,2
2311.06811,4
1505.00835,1
1901.01898,4
q-bio/0309017,1
1010.4710,1
2403.06246,4
2005.04955,2
0802.4311,2
2305.04231,4
2402.09744,4
2308.01121,2
cond-mat/0507378,3
2002.02107,2
2001.01998,2
1806.00646,1
2009.00619,3
1606.09504,3
2012.12945,2
0910.4469,1
2307.08370,1
cond-mat/0004330,3
1204.2638,2
2006.01212,4
2102.04384,4
2109.01725,4
1002.1889,2
1506.03564,2
2312.04428,4
1612.06107,3
astro-ph/9404046,3
2304.11920,1
1308.5064,2
2308.11828,2
nucl-th/9811093,3
2009.12129,2
2111.11963,4
q-bio/0611075,1
2103.09411,4
1110.0218,3
2107.06312,4
2009.13961,4
1610.02940,2
2211.05859,1
2103.00600,2
1501.07480,2
1712.03448,4
1711.03875,2
1309.5319,1
2004.06289,4
2312.14997,1
1810.01370,4
1710.09689,1
1706.09365,2
2202.06490,3
1701.04260,2
2004.09591,2
1301.5425,2
physics/0210077,3
2002.05232,2
1908.09095,3
2302.13997,4
2311.01625,1
1602.09071,2
2004.03414,4
1103.0807,3
2107.05097,1
1008.5390,1
2402.06765,4
2310.13240,4
2005.01001,1
2301.13255,2
1207.5815,3
2110.15446,4
2005.01200,1
2301.07394,1
1312.4038,1
2311.13969,4
2102.05338,2
1907.04272,4
cs/9810012,1
0904.1067,2
2112.06811,4
2205.03583,1
2204.07884,1
0808.2516,3
q-bio/0508019,1
2301.04244,2
2009.13424,3
1709.08090,2
astro-ph/0301023,3
1808.05954,3
1503.00727,3
1406.6734,3
2101.10431,4
q-bio/0406013,1
1806.03467,4
2111.00061,4
1611.00970,2
2112.14265,4
1812.01723,4
2007.03453,2
2304.02180,2
2401.03607,4
2002.05789,2
2111.10335,4
2005.13890,2
1804.09775,3
1407.1343,2
2010.12470,4
2210.10492,1
2210.16899,2
quant-ph/0602105,3
1310.8598,1
2103.05880,2
1903.08341,4
2105.03323,1
2110.00600,1
1304.1186,2
1408.1227,3
2401.06179,2
2107.00272,1
2306.07619,4
2102.07742,4
2101.06266,1
2008.00254,4
2205.15750,4
cond-mat/9503010,3
2207.07227,2
2307.10660,4
2402.02535,4
1003.3942,3
2103.10925,2
0801.3380,1
1503.01624,1
2012.00074,3
q-bio/0507041,1
2109.07932,4
2002.07566,2
1309.7374,2
2209.03307,2
2205.07468,3
1706.00013,3
2302.02826,1
2311.18164,2
1311.1785,1
1304.0923,2
2109.03026,3
2209.01023,1
2108.00480,2
q-bio/0410032,1
2104.11594,2
cond-mat/9610162,3
math/0702249,2
1701.00082,1
2308.16627,3
2009.01269,1
2110.07117,1
1910.13633,4
1607.08287,2
hep-th/0011017,3
2011.12781,4
2105.14081,4
2402.13418,1
2302.14234,4
cond-mat/0602187,3
2103.14798,3
1609.08520,2
2005.10739,1
2212.07809,1
2204.11069,2
2302.09421,4
2005.00913,1
1707.02087,2
2004.01304,2
1510.08549,3
2111.04740,1
2109.02933,2
2202.03351,4
1503.01133,1
2005.10574,3
2106.03070,4
1302.6629,2
1811.02727,4
2206.05134,2
astro-ph/9912442,3
1610.06211,3
1912.09308,3
2302.11250,2
1911.06872,4
2111.15367,2
2304.14357,3
2308.13850,2
1506.00597,1
astro-ph/9908091,3
2310.03058,1
0709.2472,3
1610.00999,2
2006.06519,4
2401.03282,3
1104.1542,3
2010.03580,2
2008.05519,2
1909.05093,4
2111.00822,4
1808.02157,1
1104.0543,1
1902.03714,2
2106.06638,1
1210.4900,2
2211.00750,1
2007.06414,1
1304.6116,4
2007.04050,4
1601.00566,2
1301.4173,2
2201.00404,1
math/0211383,2
2306.03816,4
2204.04860,4
2306.03539,1
1402.5094,2
1903.05189,2
1812.10479,2
cond-mat/0201545,3
2112.02269,2
1804.05667,2
1809.08286,3
0809.1369,3
2007.07065,4
2011.09607,2
2004.07328,3
2009.03361,4
astro-ph/0211351,3
2301.08958,4
2306.13362,4
2402.10592,4
1202.5983,2
1009.5800,2
1801.07649,1
2110.04787,4
2305.06488,1
2310.20415,4
1802.07405,2
1711.10898,3
2104.09942,4
1907.10098,3
2008.10184,2
0708.3288,3
math/0202298,2
1707.05596,2
1805.04225,4
2211.12095,4
1312.7749,1
2205.11486,4
2305.11282,4
2008.07836,2
2305.02561,4
2212.09812,3
1608.00756,2
1109.5247,3
2304.02094,2
2401.14049,1
2105.12727,1
1505.01356,3
2311.02467,4
2303.11976,4
2109.15062,4
1612.06654,2
1810.12511,4
2206.14935,3
2102.00167,4
2311.07010,4
2211.00921,2
2309.04168,3
2105.06390,2
1712.09092,2
0905.3928,2
2312.16448,2
1706.08131,1
2207.00139,3
1301.1471,2
2010.00086,3
2111.10472,4
2008.05217,1
0907.0492,3
1310.4097,3
1312.0166,3
1111.5739,2
2305.03153,1
2004.03165,2
1910.07015,4
2107.09235,4
1712.03732,3
hep-th/0211090,3
1504.03074,2
2208.05093,4
1602.06177,2
1509.01218,2
0707.3824,3
1511.04470,1
cond-mat/0601445,3
2102.11686,4
2109.07825,3
cond-mat/0111591,3
1406.4297,2
1410.8427,2
2305.11772,1
0902.2199,3
1508.07534,2
2403.04328,4
cond-mat/0203439,3
1903.01637,4
2307.00459,2
1512.07087,2
2111.06941,4
1206.2153,2
2310.11861,4
physics/0306097,3
2008.04068,2
1609.01384,1
1103.2373,1
1002.2741,2
1401.8026,2
1607.05514,2
2207.04736,1
1209.4175,2
1706.00263,2
2402.14952,4
1811.11804,1
q-bio/0405022,1
1510.05510,2
2011.06158,4
2312.05593,4
0710.1570,1
2206.01685,1
2209.01790,4
1701.05004,1
1806.01410,1
2003.12191,1
1610.09940,3
2105.08786,4
2112.14805,3
2402.14005,4
2106.00288,2
1408.3692,2
0907.2926,2
1206.4506,2
1409.1500,3
2202.12591,3
2005.02419,3
1703.00953,3
2312.12741,4
2005.04055,1
0907.4964,2
2307.01284,4
q-bio/0602008,1
1911.03380,2
1006.2909,2
2109.10814,2
2111.00076,4
2203.08223,2
1601.04974,1
2210.07955,2
0805.3981,2
1808.03364,4
2105.02217,1
2002.11211,4
2403.08145,4
2209.09680,1
1108.0099,2
2308.00563,1
2005.02505,2
2105.12342,4
1412.4428,2
2305.14356,1
hep-th/0312194,3
2310.05246,3
2012.06481,4
0801.2976,3
1306.1652,1
2305.01435,4
2201.05312,2
2105.05335,4
1103.5978,2
2211.11915,4
2208.08693,4
0803.2684,3
2207.02943,4
2003.13902,1
2201.01182,4
1503.06926,2
2107.11972,2
1911.13025,4
0802.1288,2
2402.17359,2
2401.05517,4
2402.14264,4
1702.06191,2
2308.10831,1
1211.3468,3
1811.00122,2
1512.07256,2
2101.12538,3
2202.01079,1
math/0609170,2
2109.05529,4
2305.04703,2
2004.01411,4
math/0612691,2
2209.07596,3
1106.4509,2
1112.1679,1
2206.03246,2
0903.4027,1
2107.06605,2
2307.04070,4
1104.4716,2
2007.00581,3
2010.06417,2
2004.04281,1
1803.08663,3
2010.09682,1
2103.15561,1
1407.7997,1
2111.08664,4
hep-th/9410222,3
1910.14292,1
1602.08258,2
1008.0556,3
2310.01571,1
1911.02918,4
physics/0512232,3
2010.08771,4
2302.08815,1
1603.08216,2
2109.01450,1
2309.04498,1
1403.7486,1
1304.5065,2
1701.04780,2
hep-th/0308055,3
0907.0941,2
2112.14247,2
2105.12298,4
2105.09749,3
2110.00032,4
2402.10574,4
2104.04327,4
2203.10683,4
2009.04408,2
2010.01844,4
2112.05671,4
1012.4118,2
0904.0330,3
1702.00037,2
2212.10917,2
1703.08605,3
1507.08747,1
2209.08778,2
hep-th/0106021,3
1712.08973,4
2302.07413,4
2111.09910,4
1901.02995,2
2402.06880,1
2206.03461,1
2106.08991,1
1010.2438,1
2005.06630,1
2202.02532,4
1911.06159,2
2310.00049,3
1510.04230,1
2203.15646,4
cond-mat/0612448,3
2005.11908,1
1510.04370,2
2011.03339,2
1703.07461,1
2112.03972,1
1304.6098,1
2212.03683,4
1912.12213,4
0712.3428,2
2208.03719,4
0806.1177,3
1402.0632,1
2109.04001,2
cond-mat/0601086,3
1501.01504,2
2401.10054,4
1607.04064,1
2205.07400,4
2208.12530,2
2204.13265,2
2312.16637,2
0704.0335,2
0902.1559,3
1302.3319,2
hep-ph/9809572,3
1611.03519,3
2305.19154,1
1601.06979,2
2211.04752,4
2012.07906,3
2403.00772,2
1611.06637,3
2007.08877,3
2302.00281,4
2312.15320,1
1907.11622,2
1208.2878,2
1711.06412,3
1402.1844,3
q-bio/0701011,1
1904.11548,3
1905.10176,4
2309.05783,2
1902.03121,1
1904.01096,1
1212.1877,2
1704.08175,2
2005.01394,3
2310.07607,1
1609.07472,2
2302.13298,1
1711.03612,3
2108.11755,2
2009.10609,1
hep-lat/0409064,3
1802.07799,3
1603.01488,1
2201.07319,4
1012.2322,1
1310.8604,2
2105.12807,1
1807.04642,3
1102.5075,2
1801.05947,2
2309.16679,2
1708.07260,1
1111.4954,1
1912.08711,1
0710.4913,3
2301.02937,4
1809.01342,2
1012.6019,1
2105.10430,2
1703.05826,1
1308.6546,1
2004.06095,3
1409.7827,1
1908.09190,3
1004.1489,2
2002.07307,1
1107.1192,3
1901.11355,4
hep-ph/9306283,3
q-bio/0312008,1
2301.13775,4
1307.5617,2
0907.4289,1
1508.02419,3
2007.06602,1
2309.16994,1
cond-mat/0012007,3
2008.07063,4
0710.3554,3
2212.12623,4
2009.14367,4
1303.6192,2
2208.09325,4
2305.19427,3
1403.0869,1
2001.08906,2
1902.01574,1
2005.10314,4
2209.10458,2
1507.02198,3
1201.6340,2
1710.11432,2
1501.03507,3
1311.6027,2
2106.03156,4
1302.4693,1
1701.04565,2
0909.4089,2
2010.11515,2
math/0703834,2
1705.02933,2
1912.13094,1
2005.07704,1
2102.09380,1
2102.00611,1
1710.03222,4
2307.09844,2
1005.0182,2
1305.4963,1
1207.4300,2
1410.5955,2
0812.2604,2
2308.16200,4
1110.0561,2
1501.00026,2
2206.02788,1
1912.06323,3
2203.03044,4
1612.05229,2
0906.4614,3
2004.05389,3
2306.11896,3
q-bio/0407007,1
1807.08507,3
0810.3221,3
0811.3885,2
2307.10067,4
2206.05425,2
2311.15458,4
astro-ph/9911352,3
1909.00011,3
1708.01444,1
2110.11399,4
2301.05733,4
2110.13701,2
astro-ph/0608571,3
2204.12914,2
1906.07533,2
2308.14473,2
cond-mat/0410303,3
2003.10059,4
1901.00617,2
1807.10374,1
cond-mat/0510287,3
1806.04517,4
2205.14838,4
2112.15114,4
2003.02035,2
quant-ph/0010114,3
1705.00827,3
2309.14581,4
1005.1862,2
2003.05057,1
1807.00377,3
2112.11320,4
1308.0773,2
2012.05791,3
1711.06403,2
2110.05107,4
2111.07633,4
2106.13839,3
1411.7468,1
1410.0069,3
2012.08351,2
2210.17030,2
1807.05477,4
1307.3904,3
2202.09845,2
2311.04396,3
2304.12698,4
1010.5496,1
2002.08531,2
2106.03560,2
1711.00342,4
2006.02467,2
1305.1747,2
1801.07724,3
2007.09213,4
2208.06355,1
hep-ph/9811365,3
2106.04636,4
2112.04565,4
2312.15494,4
2207.11328,3
2204.01683,4
2011.11023,4
2306.01745,1
1301.2839,3
1005.3799,2
0710.2744,3
1701.05016,2
1707.09587,1
2312.04417,4
2004.12162,4
2012.08223,4
2004.12011,2
2011.00373,4
0904.1107,2
hep-ex/0606008,3
2401.17595,4
1708.02786,2
1807.02099,4
1411.6345,1
2003.13317,2
1801.02783,4
1009.0769,2
1411.6507,4
2211.13847,4
2302.08840,1
2212.13226,4
2308.02274,4
1412.0542,2
2304.01385,4
astro-ph/0205249,3
math/0307197,2
1101.5814,1
2401.04050,4
2101.02731,2
2006.07201,4
hep-ph/0306284,3
1904.13026,1
0705.1435,1
1612.03066,2
1301.6237,1
1810.07620,4
2003.02402,3
1704.05906,1
1612.02567,2
2310.11962,4
2302.14396,4
2002.01982,1
1808.05996,4
math/0612181,2
2205.07388,4
2002.08849,2
1611.02952,2
0905.3353,1
1907.11984,2
1703.09994,1
2005.00900,1
2401.04681,3
2303.02645,4
2006.11061,4
2208.08348,4
2103.01307,1
2401.03305,2
1904.00749,2
1801.10477,3
2102.08994,4
1504.00446,3
cond-mat/0404654,3
math/0607212,2
1912.06610,1
2006.07456,2
1312.2048,2
0812.3946,1
1901.00405,1
2309.03033,1
2109.11752,1
1612.06548,3
1309.5158,2
2302.08253,2
1010.1212,2
1710.02435,2
2201.13094,2
1910.01490,2
2110.06551,4
1808.03129,4
2311.14434,1
1908.08777,2
1409.6970,3
2311.16333,4
2012.11104,3
1903.02124,4
1207.6081,2
1405.1326,2
1003.2930,2
1412.0780,1
2001.11502,1
2106.16240,2
1506.06359,1
1612.07543,2
1312.6639,1
2008.06564,4
2402.08223,4
0910.3940,3
1312.6077,1
0801.4190,1
1709.03611,2
1002.3627,2
2003.10073,1
1407.4615,3
2107.12872,2
2402.03051,1
1712.03501,3
1905.04852,2
gr-qc/9711089,3
1506.02424,1
2402.00184,4
2110.04849,4
q-bio/0510047,1
1001.5387,3
1506.04869,2
1406.5486,2
2308.09535,4
1002.1234,3
2312.02446,3
1706.07759,2
2204.01215,4
1104.0727,1
2002.07285,4
0903.4794,3
2307.06400,2
2301.11763,1
1311.5099,3
1512.08381,2
1701.02770,3
1812.11297,4
1504.06397,2
0910.0839,3
1408.4618,2
0805.0122,2
2010.05909,1
0802.1339,3
2104.09157,4
1812.04162,1
1505.05410,1
hep-ph/0603123,3
1307.7070,2
1610.08767,2
1504.01132,4
q-bio/0509030,1
0809.1516,2
1510.03506,3
1701.02985,3
2308.05668,4
1511.06546,1
2101.04308,2
1907.08319,3
0904.3534,1
1911.02688,4
2208.09638,4
1001.1184,2
cond-mat/0403491,3
0711.3153,3
2301.07386,1
cond-mat/0206347,3
2211.02249,4
1612.05952,2
2311.00287,1
2110.13467,2
2301.00648,2
2004.01502,2
1902.10743,2
1912.07466,4
1807.03034,4
2212.04219,1
1405.5795,1
2202.05192,4
cond-mat/9407036,3
2002.02412,3
1302.7246,2
2103.06483,4
2111.02300,4
2107.14405,4
1304.2960,1
2308.11238,4
1905.12788,4
2208.11805,1
1612.09595,1
1008.1460,3
hep-ph/0506257,3
1807.06927,4
1607.03955,1
1605.08373,1
2005.12572,2
2310.14937,3
1612.04370,2
2203.11820,4
physics/9805025,3
2307.10194,1
1310.5540,2
2205.12714,1
hep-ph/9404344,3
2201.11070,2
1806.06894,1
2303.08633,4
1302.5339,2
1911.11711,3
hep-th/0309143,3
2109.03546,4
2101.08385,1
2103.03286,4
2006.08058,1
1906.11224,4
1404.2133,1
2201.03689,3
1006.0519,1
1309.7696,1
hep-th/0203110,3
hep-th/9807061,3
0812.2381,3
1207.2316,2
2204.08723,4
1812.10293,4
0906.3654,1
cond-mat/0612420,3
1912.04774,4
gr-qc/0506020,3
astro-ph/0305385,3
1507.07649,3
1510.01679,2
2208.07232,2
1910.06766,3
1808.04265,2
1811.10690,4
1701.03473,3
2403.01912,3
1212.4126,2
1602.07910,2
2008.07886,4
2309.03348,1
2206.04902,4
1508.04348,2
2207.12805,1
2212.09001,3
cond-mat/9810105,3
math-ph/0504069,3
2102.00499,4
2205.00032,4
0903.5143,3
1011.1009,3
2011.03123,1
2109.10028,4
1810.09521,2
1710.00643,4
1405.6976,3
2005.03051,1
2312.17167,4
2212.08379,1
2007.03565,3
1310.7148,1
1809.05708,1
1701.03498,3
2005.01707,2
2206.05465,3
0804.2871,3
2107.11742,3
1705.03724,2
1904.11583,1
1301.0719,2
1112.3357,1
2206.05006,3
hep-ph/9605361,3
2011.07655,2
2107.02429,1
2307.15402,2
1110.5594,2
1702.08184,3
1807.11585,4
2008.11558,2
2209.05563,4
1202.0447,2
2007.05365,3
1801.01792,4
2001.06884,1
2307.14218,2
2208.11515,1
2206.14430,4
1810.02390,2
1707.00759,1
1703.09447,3
1804.06721,4
1009.3329,3
2005.12832,4
1704.06697,2
1302.2988,3
2305.03814,1
physics/9712015,3
math-ph/0501035,3
2009.13390,2
2011.02000,1
hep-th/0412053,3
1212.5932,1
2202.00662,2
1405.2467,3
physics/0003010,3
2112.09244,1
1501.06861,3
2211.06830,4
0808.2850,3
2001.02441,1
1102.3582,2
1411.4265,2
1902.01497,4
2307.01686,4
2206.07831,2
2005.05954,1
2201.07069,4
1410.5068,2
1907.05037,4
1510.00198,1
1406.7606,2
1611.08956,1
2103.06740,4
quant-ph/0208071,3
1008.2292,2
2203.01425,4
1502.01718,3
math/0510333,2
2311.12761,3
2312.14903,2
2308.08760,2
1705.02019,1
2105.07097,4
1905.12495,4
2205.09372,3
2206.06318,4
1401.6955,2
1607.03205,2
2011.07051,4
2001.10605,1
2212.14185,4
2311.14698,4
1609.00838,1
2009.02642,4
2310.19314,4
1801.00364,4
1510.04525,3
2208.13760,4
2401.12475,4
1706.05291,2
1503.00263,3
2103.16679,3
2202.01661,4
1809.09527,4
1501.01265,4
1803.03573,2
1804.10161,3
cond-mat/0702574,3
1703.10683,1
1303.6183,2
1806.05939,4
1605.00745,3
hep-th/0401180,3
2205.13658,4
0908.2778,1
2102.07372,2
2101.00065,1
2012.11679,4
2109.02603,4
2304.01025,4
2208.10183,2
1908.01171,2
1101.0791,3
1701.03111,3
astro-ph/9710188,3
1804.05219,1
2401.13132,4
1104.2449,3
2204.03728,1
0808.2660,1
1902.00056,1
2301.13410,4
2002.05670,4
1306.4021,1
1909.08047,2
2112.06807,2
0901.3404,2
2009.03719,4
2007.03573,2
1506.08054,2
1705.01069,2
1812.07116,3
2103.16800,2
2206.09883,4
2209.00417,4
1506.02074,2
